# dual multiplier for the CMS Extremal Problem 2 constant C_+(A)
# m = 1 on [0,1], the cells below on [1,T], 0 past T; m even.
# C_+(A) <= sup_x |mcheck(x)|,  mcheck(x) = int e^{2 pi i x t} m(t) dt
# 400 geometric cells (p=2.2) on [1,7]; float sup on a 1e-4 grid (not a proof): 1.107857792
# certified in ARB: C_+(28) <= 1.1079   (certificates/cplus_dual_cert.py)
A = 28
T = 7
cell 1548033/262144 6223185/1048576 -305749/1048576
cell 6223185/1048576 6254341/1048576 222787/1048576
cell 6254341/1048576 3142799/524288 60073/1048576
cell 3142799/524288 6316957/1048576 -81269/524288
cell 6316957/1048576 6348419/1048576 132371/1048576
cell 6348419/1048576 3189991/524288 -6541/262144
cell 3189991/524288 50091/8192 52215/1048576
cell 50091/8192 6443417/1048576 -36219/524288
cell 6443417/1048576 6475287/1048576 97789/1048576
cell 6475287/1048576 1626815/262144 -43261/1048576
cell 1626815/262144 817417/131072 -2789/262144
cell 817417/131072 3285757/524288 130945/1048576
cell 3285757/524288 3301897/524288 -149651/1048576
cell 3301897/524288 3318089/524288 74597/524288
cell 3318089/524288 833583/131072 -18621/1048576
cell 833583/131072 1675313/262144 -57705/524288
cell 1675313/262144 841743/131072 111183/524288
cell 841743/131072 3383369/524288 -112937/524288
cell 3383369/524288 1699909/262144 97497/524288
cell 1699909/262144 1708159/262144 979/1048576
cell 1708159/262144 6865739/1048576 -144429/524288
cell 6865739/1048576 3449473/524288 132003/262144
cell 3449473/524288 6932255/1048576 -466917/1048576
cell 6932255/1048576 1741417/262144 575/16384
cell 1741417/262144 437449/65536 166981/524288
cell 437449/65536 7032803/1048576 -142169/524288
cell 7032803/1048576 7066525/1048576 -46717/262144
cell 7066525/1048576 7100351/1048576 104473/262144
cell 7100351/1048576 7134281/1048576 -12231/131072
cell 7134281/1048576 7168313/1048576 -61059/131072
cell 7168313/1048576 3601225/524288 175613/524288
cell 3601225/524288 3618345/524288 101665/1048576
cell 3618345/524288 3635517/524288 -126669/1048576
cell 3635517/524288 7305481/1048576 -130671/131072
cell 7305481/1048576 7 1027485/1048576
